ID,Gender,Type,WFH,Designation,Resource,Fatigue,Burn,Days
fffe32003000360033003200,Female,Service,No,2,3,3.8,0.16,92
fffe3700360033003500,Male,Service,Yes,1,2,5,0.36,31
fffe31003300320037003900,Female,Product,Yes,2,NA,5.8,0.49,296
fffe32003400380032003900,Male,Service,Yes,1,1,2.6,0.2,58
fffe31003900340031003600,Female,Service,No,3,7,6.9,0.52,160
fffe3300350037003500,Male,Product,Yes,2,4,3.6,0.29,35
fffe33003300340039003100,Female,Service,No,3,6,7.9,0.62,364
fffe32003600320037003400,Female,Service,Yes,2,4,4.4,0.33,61
fffe32003200300034003700,Female,Service,No,3,6,NA,0.56,4
fffe31003600320030003200,Female,Product,No,3,6,NA,0.67,297
fffe33003100330032003700,Male,Product,Yes,2,3,5.3,0.5,290
fffe3400310035003800,Male,Service,Yes,0,1,1.8,0.12,233
fffe32003100300030003700,Male,Service,Yes,2,5,NA,0.4,346
fffe31003800330032003500,Female,Product,No,1,3,NA,0.33,312
fffe33003100330036003300,Male,Product,Yes,1,3,5.8,0.51,231
fffe31003700350033003100,Female,Service,Yes,3,5,4.7,0.32,332
fffe33003200360037003000,Male,Service,Yes,1,2,5.9,0.39,289
fffe31003500350030003400,Male,Service,No,3,6,6.7,0.59,278
fffe31003000380035003800,Female,Product,Yes,2,4,4,0.22,216
fffe3300350037003200,Female,Service,No,3,5,NA,0.68,187
fffe31003300360039003000,Male,Product,No,2,4,7.6,0.57,122
fffe32003700370038003300,Male,Service,Yes,1,3,6.3,0.47,351
fffe31003800390035003300,Male,Service,Yes,1,3,6.7,0.46,241
fffe3700370035003600,Female,Product,Yes,3,NA,7.7,0.61,44
fffe3700300033003500,Female,Service,No,3,8,NA,0.91,108
fffe3700370038003000,Female,Service,Yes,3,NA,5.8,0.4,83
fffe3200340036003400,Male,Service,No,2,4,6.6,0.44,81
fffe3600330034003600,Female,Service,No,2,4,7.4,0.6,104
fffe31003600310031003600,Female,Service,No,2,5,6.7,0.46,106
fffe3400310034003500,Female,Service,Yes,2,4,NA,0.45,35
fffe32003300340037003400,Female,Product,Yes,1,2,3.6,0.2,233
fffe3500380031003000,Female,Service,Yes,1,2,3.9,0.2,15
fffe32003400340039003400,Female,Service,No,0,1,3,0.19,81
fffe31003500310034003800,Male,Service,No,1,3,4.7,0.31,296
fffe32003700310030003800,Male,Product,No,4,8,8.7,0.81,242
fffe32003800300036003300,Male,Service,Yes,3,5,4.4,0.39,149
fffe390036003000,Female,Service,Yes,3,6,5.8,0.42,153
fffe32003700390039003300,Female,Product,Yes,0,2,3.9,0.19,197
fffe32003500390036003500,Female,Service,Yes,3,7,6.6,0.56,247
fffe33003400390030003300,Female,Service,No,4,7,7.3,0.53,62
fffe3200350030003300,Female,Service,Yes,3,5,NA,0.5,308
fffe3800360036003400,Female,Product,Yes,1,3,5.4,0.33,192
fffe33003200380030003900,Male,Service,No,2,5,5,0.45,317
fffe31003800370038003900,Female,Service,Yes,2,3,6,0.36,190
fffe31003700330031003000,Female,Service,Yes,3,6,7.5,0.59,23
fffe32003300380035003700,Male,Service,No,4,10,10,0.94,264
fffe3900300031003500,Female,Product,No,3,NA,7.7,0.61,144
fffe32003700300034003600,Female,Product,Yes,1,3,6,0.37,125
fffe31003500390030003200,Male,Service,No,2,6,7.4,0.65,285
fffe31003500360032003800,Female,Service,Yes,2,5,6.4,0.49,162
fffe32003100320039003700,Male,Service,Yes,1,3,5.6,0.38,343
fffe31003200340033003100,Male,Product,No,2,5,7.4,0.62,83
fffe33003100340034003900,Female,Product,Yes,3,5,6.1,0.39,112
fffe32003100340032003800,Female,Product,Yes,2,4,3.1,0.15,219
fffe380030003100,Male,Service,No,2,5,8,0.61,9
fffe3900310031003800,Female,Product,No,1,2,4,0.26,267
fffe3200390030003200,Female,Service,No,2,2,3.6,0.28,9
fffe3800370031003300,Male,Product,Yes,2,5,8.7,0.71,310
fffe3300320030003200,Male,Product,No,3,NA,8,0.68,251
fffe33003200310034003500,Female,Service,No,3,5,6.8,0.57,358
fffe32003200310030003200,Female,Service,Yes,2,3,4.9,0.39,41
fffe3300300031003100,Female,Product,No,3,6,7.9,0.61,111
fffe33003300310030003900,Male,Product,No,3,6,7.6,0.62,203
fffe31003200340034003500,Female,Service,No,5,9,9.2,0.8,307
fffe32003400320036003200,Male,Service,Yes,4,6,6.5,0.63,242
fffe3600330031003200,Female,Service,No,3,5,6.8,0.6,133
fffe31003300330034003700,Female,Product,No,4,8,8.7,0.79,74
fffe3600330032003400,Male,Service,Yes,2,5,6.2,0.39,139
fffe3500300037003900,Female,Service,No,3,5,5.8,0.36,358
fffe33003400360037003500,Female,Product,No,2,4,6.6,0.5,167
fffe32003500310039003700,Male,Product,No,4,7,8.2,0.72,111
fffe32003600370032003500,Female,Service,Yes,2,3,4.9,0.34,179
fffe3200350037003200,Female,Service,No,1,2,4.1,0.27,331
fffe3800390036003200,Male,Service,No,3,7,7.4,0.66,152
fffe3400390032003600,Female,Product,Yes,0,1,NA,0.04,244
fffe33003300360032003700,Male,Service,Yes,1,2,4.4,0.27,224
fffe32003600360039003700,Female,Service,No,2,6,6.9,0.67,35
fffe3200360031003700,Female,Product,Yes,1,2,5.3,0.38,71
fffe33003300350036003100,Female,Service,Yes,2,2,4.3,0.28,287
fffe31003600360039003900,Male,Product,Yes,0,1,0.8,0.05,95
fffe31003500340038003100,Female,Service,Yes,2,4,2.9,0.22,278
fffe32003400320034003800,Female,Service,Yes,1,3,5,0.39,294
fffe31003300310036003300,Male,Service,Yes,1,4,6.9,0.52,225
fffe33003100300031003200,Female,Service,No,3,5,4.7,0.39,105
fffe31003300310037003900,Female,Service,No,1,3,2,0.11,322
fffe3300300036003900,Female,Service,No,2,4,5.4,0.44,103
fffe3300360039003000,Male,Product,No,2,5,6.1,0.5,181
fffe3500340030003800,Female,Product,Yes,1,4,5.1,0.41,65
fffe31003500310038003800,Male,Product,No,4,9,NA,0.76,344
fffe340035003800,Female,Service,Yes,3,5,4.7,0.43,260
fffe31003700300036003800,Male,Service,Yes,3,5,5.4,0.46,66
fffe32003900320033003900,Female,Service,No,4,7,9.1,0.85,335
fffe380031003300,Male,Service,Yes,1,3,5,0.35,363
fffe33003200330030003500,Male,Product,No,1,1,0,0,293
fffe33003300390037003700,Male,Product,Yes,2,4,4.3,0.34,279
fffe31003500380034003100,Female,Service,Yes,2,NA,6.7,0.44,133
fffe32003500370036003100,Female,Product,No,2,5,5.7,0.55,81
fffe33003200300033003500,Male,Service,Yes,4,6,6.8,0.62,46
fffe32003500370037003600,Male,Service,No,3,6,7.6,0.72,136
fffe32003400380030003100,Male,Product,Yes,3,8,8.3,0.71,31
fffe32003800330033003400,Female,Product,No,1,3,5.5,0.39,145
fffe32003500360037003200,Female,Service,No,1,3,5.3,0.48,186
fffe31003700350033003000,Female,Service,No,3,7,8,0.7,239
fffe3900300032003700,Male,Service,Yes,4,6,6.4,0.56,14
fffe3400320031003800,Female,Service,Yes,1,3,3.6,0.27,114
fffe3300360035003600,Female,Product,Yes,2,5,7,0.66,180
fffe31003900360033003300,Female,Product,No,3,7,7.6,0.56,64
fffe32003800300036003600,Male,Service,No,2,5,8.7,0.79,239
fffe31003900310039003200,Female,Product,Yes,0,1,2.6,0.18,316
fffe3400390037003700,Female,Service,Yes,2,4,4.7,0.33,267
fffe31003600300039003700,Male,Service,Yes,2,4,6.4,0.4,324
fffe33003100380034003500,Female,Service,No,2,5,5.8,0.39,304
fffe3800380039003400,Female,Service,No,1,1,3.3,0.23,143
fffe31003500390038003000,Female,Product,Yes,2,4,5.9,0.45,362
fffe3600310036003700,Female,Product,No,2,NA,7.8,0.67,80
fffe3800390030003800,Male,Product,Yes,1,3,7,0.52,47
fffe3300390033003100,Female,Service,No,4,7,7.2,0.6,120
fffe3900330037003500,Male,Service,Yes,3,7,7.9,0.59,88
fffe3300360038003700,Female,Service,Yes,1,3,5.9,0.36,106
fffe32003400390034003500,Male,Service,No,1,3,4.4,0.29,303
fffe33003100300035003600,Male,Service,Yes,2,5,5.2,0.34,314
fffe31003900380032003800,Female,Product,Yes,2,4,5.3,0.34,280
fffe31003900300036003900,Female,Service,No,4,6,NA,0.67,27
fffe31003600300030003000,Female,Product,Yes,4,NA,8.9,0.76,117
fffe390031003100,Female,Product,Yes,3,4,5.2,0.46,105
fffe31003300380039003700,Male,Service,Yes,2,5,4.5,0.36,311
fffe32003700390032003000,Female,Product,No,2,3,6.6,0.45,22
fffe32003000300035003100,Female,Product,Yes,3,5,3.8,0.27,347
fffe33003400340033003100,Male,Product,No,3,7,7.6,0.65,340
fffe3900380037003500,Female,Product,Yes,3,6,5.6,0.34,229
fffe31003300380033003700,Female,Service,Yes,1,3,5.4,0.37,143
fffe33003000340037003600,Male,Product,Yes,1,2,4.9,0.25,186
fffe32003600370033003700,Male,Service,No,2,5,7.3,0.57,238
fffe3600320032003900,Male,Service,No,2,5,5.6,0.52,242
fffe3400330035003800,Female,Product,No,4,8,7.8,0.75,76
fffe3600380039003200,Female,Product,Yes,4,7,6.7,0.55,175
fffe31003700330032003400,Female,Service,No,1,4,6.5,0.43,295
fffe32003900320030003300,Female,Service,Yes,0,1,1.8,0.1,138
fffe32003600370036003700,Female,Product,No,3,6,8.1,0.68,128
fffe33003400300034003600,Male,Service,Yes,3,7,6.4,0.56,249
fffe3400350037003000,Male,Service,Yes,3,8,7.2,0.73,340
fffe32003800370034003800,Female,Service,No,2,5,8.6,0.7,117
fffe31003500390039003000,Male,Service,No,2,5,NA,0.58,272
fffe31003300330030003000,Male,Product,No,4,8,9.5,0.88,12
fffe31003100370035003400,Male,Product,Yes,2,6,6.8,0.63,140
fffe3100360037003800,Female,Service,No,2,5,6.5,0.62,298
fffe3500390039003700,Female,Service,Yes,2,3,3.5,0.25,108
fffe33003400350037003000,Male,Service,No,2,3,4.8,0.4,251
fffe3300340033003900,Male,Product,No,3,8,7.6,0.77,330
fffe32003800380038003500,Male,Product,Yes,3,6,6.2,0.58,318
fffe31003700380039003600,Female,Product,Yes,3,6,3.6,0.3,111
fffe32003600360038003400,Male,Product,No,3,6,8,0.61,259
fffe31003000340032003700,Female,Service,Yes,3,5,6,0.4,68
fffe3300380034003600,Female,Service,Yes,1,3,3.8,0.33,301
fffe32003200320034003000,Female,Product,Yes,1,2,2.4,0.06,272
fffe31003100380033003600,Male,Service,Yes,1,4,4.3,0.36,145
fffe32003800310031003100,Female,Service,Yes,1,2,3.7,0.28,104
fffe32003000330031003700,Male,Product,Yes,2,5,5.6,0.37,305
fffe32003500340034003400,Female,Service,Yes,0,1,1,0.03,222
fffe33003300310035003800,Female,Product,Yes,2,5,7.2,0.67,115
fffe32003400360033003800,Male,Service,Yes,1,3,6.7,0.46,283
fffe31003700330032003300,Female,Service,Yes,3,8,7.5,0.72,2
fffe3900370030003600,Female,Service,No,3,6,NA,0.69,199
fffe3900360033003500,Female,Service,No,4,7,7.5,0.65,279
fffe31003100350037003700,Female,Product,No,0,1,4,0.24,311
fffe31003400350033003700,Female,Service,Yes,1,3,5.3,0.41,31
fffe3100390034003700,Female,Product,No,2,5,7.5,0.68,89
fffe31003700380032003400,Female,Service,Yes,1,2,NA,0.42,349
fffe31003300310035003400,Male,Product,No,4,7,7.7,0.72,336
fffe33003400390035003500,Male,Service,Yes,0,2,4.4,0.33,278
fffe31003600300032003500,Female,Service,Yes,2,3,NA,0.37,71
fffe3700370031003700,Male,Service,Yes,4,6,NA,0.6,332
fffe31003400340031003500,Male,Service,Yes,3,5,6.5,0.48,79
fffe32003300340038003400,Male,Product,Yes,2,4,5.5,0.48,327
fffe31003700310033003400,Male,Service,No,2,5,5,0.36,36
fffe32003000330033003800,Female,Service,Yes,1,1,NA,0.24,252
fffe31003400380038003100,Male,Product,No,4,10,9.2,0.91,54
fffe31003000360035003700,Female,Product,Yes,1,2,4.1,0.24,8
fffe33003400330035003900,Female,Service,No,3,6,5.5,0.45,37
fffe3900350033003600,Male,Service,No,5,9,8.8,0.85,193
fffe31003000300037003800,Female,Service,No,2,4,5.5,0.34,225
fffe3900300031003000,Male,Product,Yes,1,3,5.9,0.36,32
fffe33003100360037003700,Female,Service,Yes,2,4,4.5,0.34,142
fffe3900350039003000,Male,Product,No,3,6,8,0.59,246
fffe31003200370030003900,Female,Service,Yes,2,4,5.8,0.44,162
fffe3800380035003500,Male,Service,No,1,3,4.4,0.38,42
fffe31003700380033003600,Male,Product,No,3,6,7.5,0.59,2
fffe33003400360035003000,Female,Service,No,2,7,8,0.7,194
fffe31003200370036003300,Male,Product,No,2,3,6.1,0.42,122
fffe32003000320030003900,Male,Product,Yes,1,2,5.1,0.46,219
fffe31003800390034003900,Female,Service,Yes,3,4,NA,0.48,6
fffe32003800370033003600,Female,Service,Yes,3,5,4.7,0.39,321
fffe33003000360035003300,Female,Service,Yes,3,5,5.2,0.42,302
fffe31003100370037003500,Male,Product,Yes,0,1,0,0,86
fffe32003700320037003100,Female,Service,Yes,2,5,5.1,0.46,71
fffe31003800300037003300,Male,Product,Yes,1,2,4.4,0.3,137
fffe32003700370030003400,Female,Product,No,4,6,6.9,0.63,63
fffe31003400310039003400,Female,Service,No,2,5,5.3,0.45,169
fffe3300370039003900,Male,Service,No,2,3,NA,0.49,254
fffe3400350038003300,Female,Service,Yes,3,6,6,0.58,121
fffe31003900300039003700,Male,Product,No,4,7,8.6,0.67,360
fffe32003400330033003400,Male,Service,No,2,5,7.3,0.71,286
fffe32003800310033003800,Female,Service,Yes,1,3,5.5,0.48,261
fffe3700360035003600,Male,Service,Yes,1,3,2.9,0.22,224
fffe32003000340039003700,Female,Product,No,3,6,5.1,0.43,203
fffe3300350035003000,Male,Service,Yes,4,8,NA,0.74,89
fffe3800350037003300,Male,Service,No,2,5,6.4,0.57,319
fffe31003900330038003200,Female,Service,Yes,2,3,NA,0.22,330
fffe31003600380030003300,Female,Service,No,3,NA,5.8,0.47,42
fffe33003400360039003100,Female,Service,Yes,3,4,6.1,0.47,63
fffe33003000300033003700,Female,Service,Yes,3,5,5.3,0.47,203
fffe3400370031003000,Female,Product,Yes,1,4,5.5,0.34,79
fffe32003800370039003300,Female,Service,Yes,1,3,5.5,0.37,82
fffe3400310036003300,Female,Service,No,3,7,7.8,0.8,96
fffe31003100380031003200,Male,Product,No,4,8,8.9,0.8,213
fffe3200390038003900,Female,Product,No,2,NA,NA,0.36,173
fffe32003000370031003000,Female,Service,Yes,1,4,6.9,0.49,161
fffe31003500390038003500,Female,Service,Yes,1,3,NA,0.35,174
fffe31003400340032003700,Male,Service,Yes,0,1,0,0,144
fffe33003000340033003600,Male,Service,Yes,4,9,9.3,0.86,87
fffe31003500340030003900,Female,Service,Yes,1,2,4.6,0.33,292
fffe31003200370033003800,Female,Service,Yes,3,6,5.7,0.5,200
fffe33003200300031003300,Female,Service,Yes,2,4,4.5,0.34,69
fffe32003100380035003300,Male,Product,Yes,0,2,4.7,0.23,313
fffe3400340035003800,Male,Product,No,4,8,9.9,0.92,331
fffe33003200380031003800,Female,Service,Yes,3,6,6.3,0.44,226
fffe33003200330034003200,Female,Service,Yes,1,3,3.6,0.15,102
fffe33003000310038003300,Female,Service,Yes,0,2,4.3,0.32,298
fffe32003200390032003500,Female,Service,Yes,3,4,6.5,0.43,152
fffe32003600360035003100,Male,Service,No,4,9,8.7,0.78,348
fffe360030003700,Male,Service,Yes,0,1,3.1,0.23,302
fffe31003200320037003900,Male,Service,Yes,2,4,3.6,0.21,171
fffe3100320034003200,Male,Service,Yes,1,2,3.6,0.23,138
fffe3600390030003500,Female,Product,Yes,3,5,5.7,0.4,57
fffe32003100360038003100,Female,Service,Yes,2,5,5.7,0.38,37
fffe32003800370033003900,Female,Service,No,0,1,0.5,0,259
fffe31003100300038003900,Female,Product,No,2,4,3.9,0.33,26
fffe310030003300,Male,Product,Yes,3,NA,7.3,0.63,157
fffe3600350036003900,Female,Product,No,2,5,7,0.62,24
fffe32003200330038003600,Female,Service,No,2,4,NA,0.39,79
fffe3700340032003100,Male,Service,Yes,3,4,5.4,0.36,199
fffe32003100390036003700,Female,Service,Yes,2,3,3.7,0.28,210
fffe31003600360035003400,Female,Product,No,3,NA,7.4,0.56,14
fffe31003800360038003300,Female,Service,Yes,2,4,6.1,0.41,113
fffe32003800330034003000,Male,Service,Yes,0,1,2.8,0.1,330
fffe32003400300033003500,Female,Service,No,2,4,6.9,0.63,60
fffe31003400390032003000,Male,Service,Yes,3,7,7.3,0.67,338
fffe32003600300034003200,Male,Service,No,3,7,7.2,0.62,261
fffe32003200380037003700,Male,Service,Yes,2,7,9,0.77,271
fffe31003500330036003700,Female,Service,No,0,1,0,0,178
fffe32003900310031003300,Male,Product,Yes,2,6,5.6,0.51,12
fffe33003100310035003200,Female,Service,Yes,2,4,6.8,0.61,3
fffe3300330034003200,Female,Service,Yes,1,3,5.1,0.41,324
fffe3400360032003100,Female,Service,Yes,3,5,6,0.53,176
fffe3700390038003900,Female,Service,Yes,1,3,6.8,0.5,15
fffe32003700330036003100,Male,Product,Yes,2,5,6.5,0.55,44
fffe3100310034003000,Male,Service,Yes,4,6,5.7,0.49,171
fffe31003400370037003600,Male,Service,Yes,2,NA,6.9,0.57,345
fffe31003500330036003100,Male,Product,Yes,3,5,6.1,0.44,73
fffe3200340032003800,Male,Service,Yes,3,7,8.8,0.7,359
fffe32003500340036003900,Female,Service,Yes,1,2,6.8,0.48,71
fffe3500340030003100,Male,Product,No,0,NA,3.8,0.23,7
